ACC_ID	STY_count	countS	countT	countY
Q68DX3	226	137	64	25
P58550	10	5	2	3
Q64ET8	61	38	19	4
Q6ZNW5	42	22	13	7
A6NEM1	47	27	15	5
Q8NHV1	43	23	14	6
Q9NWU2	27	10	11	6
O95390	53	27	16	10
Q6IC98	86	41	28	17
Q14833	151	67	53	31
Q9NS18	29	13	11	5
F8WBI6	69	43	20	6
Q6NV75	101	62	26	13
O95467	41	24	14	3
Q3T8J9	349	197	134	18
Q3ZCU0	40	23	13	4
Q96MM7	92	48	30	14
Q68CZ6	91	46	30	15
Q16778	27	14	8	5
Q6MZN7	28	21	6	1
P56524	155	90	47	18
O60381	104	66	22	16
P68871	15	5	7	3
Q9UGQ3	74	37	27	10
Q9H1H1	19	10	6	3
Q9UII4	148	71	50	27
Q5VTY9	92	34	29	29
Q8N3J3	113	71	39	3
Q4G0P3	810	361	312	137
Q9BQS6	23	14	8	1
A0A0C4DH32	20	12	4	4
P20719	62	41	8	13
A0A087WSY4	33	20	6	7
B7ZW38	42	29	6	7
Q14974	115	49	43	23
P20839	84	36	31	17
Q96PD4	27	14	10	3
Q9H0C8	57	33	17	7
Q9UBC1	37	25	9	3
P01584	38	21	9	8
Q9NV31	21	8	8	5
Q96T52	18	13	3	2
Q53G44	73	35	22	16
P09565	13	5	7	1
Q659A1	198	109	60	29
Q8WX77	31	17	11	3
A6NJ69	12	8	1	3
Q9NZ38	31	18	9	4
P01562	31	18	9	4
P05107	106	47	39	20
Q14695	23	13	9	1
Q9BUE6	23	9	11	3
Q6UXX5	262	131	96	35
P31323	49	19	21	9
P78412	84	41	25	18
Q6DN90	177	115	37	25
Q92794	363	222	90	51
Q6UXG2	233	95	96	42
Q3SY84	88	59	16	13
Q9UKX5	197	91	65	41
P01615	29	18	5	6
Q8N7A1	64	24	24	16
P50053	35	23	9	3
Q9BYR6	19	7	12	0
Q9NPC2	72	33	21	18
Q05315	26	13	7	6
Q71RC2	147	76	49	22
Q5T753	28	26	2	0
Q3B8N2	60	32	19	9
Q86TE4	52	30	19	3
Q96KX0	26	10	7	9
O75608	31	16	12	3
Q8N2G4	23	15	5	3
Q8IYG6	73	49	17	7
Q9NU23	13	4	7	2
Q8NCR3	50	20	16	14
Q14165	35	13	10	12
P04733	11	9	2	0
Q14872	157	87	59	11
Q6PF18	29	10	6	13
Q96J65	222	99	91	32
P26038	60	21	26	13
Q8N9H8	92	56	25	11
Q9GZM8	53	34	12	7
Q6NSW7	72	42	21	9
P52849	149	60	52	37
O15239	10	4	2	4
O43674	26	8	8	10
P13533	220	96	83	41
O94832	146	56	48	42
Q92859	312	148	113	51
O15130	13	10	2	1
O60500	211	100	85	26
Q7RTR2	142	79	50	13
Q16621	66	32	19	15
Q8N0W4	152	44	72	36
Q96PY6	179	106	48	25
Q12968	236	154	58	24
B1AL46	128	77	43	8
P49790	413	267	133	13
P0DPK3	44	11	24	9
Q9NPB1	23	11	7	5
O95478	31	7	15	9
Q8NGK3	44	17	15	12
P58417	63	27	22	14
Q9Y530	25	11	8	6
Q16625	114	48	22	44
Q16633	54	21	22	11
Q9H714	130	81	34	15
Q8NGQ3	68	30	27	11
Q96PE5	26	13	11	2
Q6TGC4	113	52	36	25
Q8NGR9	62	27	20	15
Q8NGR5	70	34	20	16
Q96FE7	39	16	16	7
P23515	108	43	54	11
Q8NH10	61	26	19	16
P49450	17	10	6	1
P07199	75	40	25	10
Q9C0F1	67	35	21	11
Q7LGC8	57	29	17	11
Q92879	86	48	27	11
O14646	316	202	62	52
Q7Z4L0	7	2	3	2
Q6EIG7	42	25	10	7
Q96F83	61	39	21	1
Q96JB5	71	35	22	14
Q9H4G1	25	9	11	5
Q8IUR6	123	66	37	20
Q2VPA4	95	52	26	17
Q9BQT9	159	72	55	32
Q9P000	36	24	12	0
Q5HYK3	43	23	8	12
Q7Z4B0	19	10	7	2
A8K830	48	27	9	12
A0A1B0GTH6	189	131	46	12
Q7Z449	75	39	22	14
Q9BQA9	38	21	10	7
Q9Y315	48	17	23	8
Q96FC9	118	62	35	21
Q9Y6G9	83	45	25	13
P17707	66	32	21	13
Q6ZN54	66	30	20	16
Q9BTE7	36	19	7	10
Q8NFT8	130	66	40	24
Q9UBS4	39	14	14	11
Q9H819	67	19	25	23
Q96LL9	43	18	13	12
Q8NHS0	47	30	10	7
Q92874	44	23	10	11
O96015	16	6	7	3
Q6UY11	37	15	17	5
Q9NP97	17	6	9	2
Q9H6R0	112	46	43	23
Q96SL1	77	40	25	12
Q5T7M9	71	27	23	21
O60469	431	204	155	72
Q9H2P9	40	17	15	8
Q96PT3	22	12	9	1
Q08554	155	60	65	30
A6NNA5	47	23	20	4
Q96AV8	165	109	37	19
Q7Z2Z2	150	74	54	22
Q16555	96	43	39	14
Q96EV8	61	35	21	5
Q8TF40	221	135	63	23
Q9HCM7	140	98	33	9
Q13069	14	6	5	3
Q9UQC2	162	96	47	19
Q9UBS5	164	74	58	32
Q6P531	77	43	32	2
Q8ND71	98	49	39	10
Q6W3E5	88	33	37	18
Q8NEA9	87	46	20	21
P49863	53	25	21	7
Q96IK5	89	48	22	19
P30711	25	6	12	7
Q7Z2Y8	386	187	137	62
Q93077	12	5	4	3
Q8IYU2	139	65	45	29
Q9BYK8	336	156	122	58
P12081	56	23	16	17
Q16836	54	24	24	6
Q86UQ5	24	13	7	4
Q14774	93	66	21	6
Q9Y5J3	55	37	12	6
P54868	101	44	34	23
Q9ULV5	60	40	15	5
Q9NWW0	21	12	6	3
Q96JZ2	61	35	19	7
Q9Y5N1	78	42	20	16
O43464	73	33	32	8
P54652	98	34	48	16
Q92598	106	49	38	19
A0A0C4DH33	27	9	13	5
P06331	28	15	7	6
A0A075B6R2	29	19	6	4
Q9H9L3	58	33	19	6
P17481	42	21	8	13
Q13422	92	58	19	15
P35557	65	31	23	11
Q13478	95	41	34	20
Q9GZX6	26	15	8	3
P09529	50	24	15	11
P08700	19	7	11	1
O00458	75	34	31	10
Q14240	55	16	27	12
O43432	248	133	94	21
Q8IY47	121	52	39	30
Q86V97	119	59	31	29
A8MWY0	202	95	72	35
Q3MIP1	57	30	15	12
P19012	75	39	25	11
P12035	106	70	18	18
Q9H9L4	73	42	22	9
Q9ULI4	305	194	93	18
Q8NG31	434	217	170	47
A0A0B4J2D9	30	18	7	5
Q9NS87	198	110	67	21
P60329	25	13	9	3
O60928	67	31	25	11
Q6L8H2	61	59	0	2
Q05513	77	35	25	17
Q96LW2	51	25	17	9
Q6L8G8	36	35	0	1
P22460	77	35	29	13
Q6UWM7	96	37	24	35
P59901	104	52	32	20
O75019	107	58	30	19
Q14847	44	16	12	16
Q68G75	30	13	11	6
Q9Y6N6	235	119	87	29
P13473	91	33	41	17
P01700	34	21	7	6
Q9NX58	37	23	9	5
P01706	37	20	9	8
Q7Z2Q7	107	55	32	20
A0A0B4J1Y8	29	16	8	5
Q9UFC0	95	52	35	8
Q9HBW0	58	27	18	13
Q02978	56	17	27	12
Q0VAK6	59	30	23	6
Q8TD35	16	6	8	2
P21941	84	48	26	10
Q8IVB5	44	26	13	5
Q92585	182	125	43	14
Q14582	33	21	8	4
Q96EZ8	72	46	19	7
P51608	82	52	25	5
P48740	124	50	42	32
Q9HCC0	71	29	20	22
A2RUH7	55	18	28	9
Q8IX19	26	15	7	4
Q99735	23	8	6	9
Q6DN14	149	83	40	26
Q13201	238	107	98	33
Q8IY33	151	97	43	11
Q96BY2	30	11	13	6
Q86SM8	34	14	11	9
P20591	87	40	32	15
P49914	29	17	5	7
Q13765	38	18	18	2
O15118	217	99	64	54
Q9BUA6	28	15	11	2
O60391	125	63	45	17
Q8WTR8	65	27	30	8
P78426	83	60	16	7
Q96TA1	110	55	31	24
Q15223	89	31	34	24
P29120	128	61	41	26
Q9Y314	53	23	22	8
Q7RTP0	54	27	19	8
P21452	73	23	32	18
Q14995	99	70	19	10
O60287	326	158	115	53
P0C0P6	19	13	4	2
O94818	130	80	29	21
A6NJG6	76	43	21	12
Q9Y574	58	22	20	16
Q075Z2	27	9	10	8
Q4VC05	41	32	8	1
P46663	40	21	13	6
P08236	117	42	38	37
Q9HAY6	100	33	38	29
Q9BRD0	104	71	21	12
P32247	88	43	31	14
O94812	159	83	52	24
P48751	176	96	61	19
P13236	21	11	5	5
I3L3R5	21	9	12	0
Q6ZRK6	185	95	74	16
Q8WY22	40	25	8	7
Q5BKX8	53	36	13	4
O75155	156	90	50	16
Q8N8Q1	33	16	11	6
Q6ZRZ4	25	14	10	1
Q9BS16	38	17	18	3
P32929	64	30	24	10
Q96MF4	26	17	9	0
P06493	48	21	13	14
Q12798	19	9	9	1
Q8TDI0	243	122	62	59
Q8TD26	413	214	139	60
O60543	42	17	17	8
Q8N865	107	36	40	31
Q5TEZ5	32	7	18	7
Q96MR6	199	87	73	39
Q03692	72	27	24	21
Q9BYD5	20	7	9	4
P49761	104	55	25	24
Q8N129	32	11	16	5
E9PRG8	12	6	6	0
Q92478	30	11	12	7
Q96NS8	25	12	12	1
O75208	50	25	19	6
Q9H336	88	38	25	25
Q5W186	19	12	5	2
P05813	42	20	11	11
Q9BT78	57	23	18	16
Q96MU5	48	29	14	5
Q7Z4G1	15	7	5	3
Q8NEP3	102	49	44	9
Q8N1L1	32	21	10	1
A0A096LNP1	12	6	3	3
P08574	49	25	10	14
Q69YQ0	219	131	69	19
O43583	24	10	9	5
O94919	81	38	27	16
Q9UHF1	42	24	11	7
A8MWA6	68	47	19	2
A8MXZ1	67	47	18	2
P07492	18	13	3	2
Q8WU03	42	18	10	14
Q02747	9	5	3	1
Q9H4Y5	36	11	12	13
Q9H4S2	44	30	8	6
Q9H116	117	59	43	15
Q9BY41	61	23	17	21
Q9Y450	108	50	42	16
Q5TGJ6	25	13	7	5
Q9Y3E1	36	18	11	7
Q8TDS4	49	26	16	7
Q9P0R6	22	9	7	6
P00390	79	34	32	13
Q9UBK5	14	9	3	2
Q5TGS1	26	22	2	2
P0CJ74	2	1	1	0
Q9BVR0	169	85	66	18
O14558	17	10	4	3
Q5SSJ5	97	55	30	12
P07099	77	31	25	21
A6NHT5	50	31	12	7
P11142	97	35	47	15
A0A0A0MS15	26	12	8	6
P0DMR1	42	29	6	7
Q92826	51	22	14	15
P01782	21	13	3	5
P09630	52	24	15	13
Q7Z5L9	88	57	27	4
Q00444	40	20	9	11
P52597	78	37	19	22
P14651	84	46	19	19
P29459	39	19	15	5
Q5VVH5	45	23	19	3
Q5JSJ4	142	67	51	24
Q75QN2	147	71	47	29
Q14164	105	50	35	20
Q6PI98	40	25	9	6
P31785	74	35	26	13
O00629	59	30	23	6
Q9NWB7	66	23	29	14
Q8TDY8	205	109	68	28
P01877	74	32	36	6
A0M8Q6	27	15	9	3
P13598	50	23	21	6
Q96J02	154	69	56	29
Q2LD37	1037	545	374	118
Q8WWA0	68	26	22	20
Q9UBP8	6	3	3	0
Q92613	145	89	34	22
Q5DT21	14	4	7	3
Q99456	87	54	21	12
Q8WZA9	53	28	23	2
Q96I82	36	16	12	8
Q6NY19	120	77	35	8
Q8TBB5	80	35	29	16
Q7LBC6	310	194	94	22
Q6TDP4	112	62	30	20
O60282	132	62	49	21
P04430	31	18	7	6
Q3LI67	27	7	0	20
A0A0C4DH67	34	17	9	8
A5PL33	159	114	41	4
Q92876	35	16	11	8
O76014	69	36	24	9
Q7Z4W3	27	8	0	19
Q9Y6H6	22	8	8	6
Q9H252	165	89	45	31
Q8NHL6	133	66	42	25
Q86UK5	169	101	55	13
Q9UPM6	59	31	18	10
P25391	513	244	171	98
Q16787	535	258	179	98
Q6ZV70	63	24	15	24
A6NDA9	89	48	29	12
Q9NQ29	51	37	10	4
O95711	29	15	8	6
Q9NT99	122	51	57	14
Q6UX82	53	35	14	4
Q16584	111	68	33	10
Q9NUN5	100	43	31	26
Q9P2M1	54	14	14	26
Q96JA1	196	105	73	18
P02545	116	69	36	11
Q12907	57	23	24	10
O75095	181	83	70	28
Q07820	46	21	20	5
Q9P267	283	191	75	17
P43355	53	27	15	11
P59942	16	10	4	2
Q5VZF2	62	22	32	8
Q9BQ69	49	23	17	9
Q05BQ5	108	56	30	22
Q96ES6	50	20	22	8
Q7RTP6	315	187	89	39
P08581	250	119	88	43
P35548	49	30	12	7
Q9NRJ1	20	9	9	2
Q8NEH6	24	8	4	12
O95396	58	28	16	14
O43347	67	25	30	12
P53985	78	38	21	19
O15457	207	96	69	42
Q96S19	19	9	7	3
P55157	162	84	49	29
Q69YI7	40	15	22	3
Q13562	62	36	17	9
Q147X3	54	27	15	12
O00217	33	9	14	10
Q13508	56	22	20	14
P56556	17	5	9	3
O15069	263	157	100	6
O43676	10	4	2	4
P40205	10	5	4	1
P14649	21	8	9	4
Q96QE2	117	53	39	25
P0CAP1	74	33	28	13
Q9Y2K3	231	111	87	33
P12524	56	32	13	11
Q86VE0	50	32	15	3
Q9BRK3	58	30	12	16
Q6P444	62	47	10	5
Q9Y216	114	63	27	24
Q9C0I1	107	50	38	19
Q9UHB4	76	43	22	11
P16333	58	31	12	15
B4DH59	147	84	25	38
Q330K2	46	21	12	13
Q15784	57	29	13	15
Q96L15	42	19	16	7
O75489	34	13	12	9
P52298	28	10	6	12
Q6T4R5	366	245	98	23
Q4KMZ8	33	14	8	11
Q96F24	36	20	12	4
P54845	34	18	9	7
Q06495	106	54	42	10
Q9BZD4	64	29	19	16
P78549	41	20	15	6
Q96L73	447	276	131	40
Q5JRS4	63	29	22	12
Q8NGC9	62	23	21	18
Q8NGE5	63	27	25	11
Q8NGT7	50	25	13	12
Q8NH63	56	24	21	11
Q8NH54	52	22	20	10
Q8NGL6	60	22	25	13
Q6IF36	71	35	21	15
Q8NGZ9	67	30	18	19
P68402	20	8	10	2
Q99571	63	20	25	18
Q96FW1	45	20	10	15
Q8NGA1	61	30	19	12
Q9NXG6	68	26	25	17
Q8WZ82	21	16	4	1
Q9H0J9	130	66	36	28
Q9Y5H6	153	86	45	22
Q9H1Q7	52	26	11	15
Q9Y5F1	138	73	45	20
Q9Y5F7	165	95	48	22
O75459	19	11	6	2
Q5JUK9	14	8	4	2
Q00722	163	82	52	29
Q96BD5	120	49	64	7
Q99570	215	105	73	37
Q8N7P1	91	48	24	19
Q96JS3	114	54	37	23
P25788	41	21	7	13
A6NEY8	15	4	9	2
Q99935	65	29	29	7
Q9UMS4	96	46	39	11
Q8N8N7	51	23	17	11
Q13610	90	53	23	14
Q8TB72	194	113	50	31
P10276	87	44	31	12
A0A096LP55	10	4	5	1
Q9H6Z4	100	65	30	5
P63244	67	30	31	6
Q9NRF8	78	36	24	18
Q15032	216	134	51	31
Q96D15	35	13	13	9
Q08999	198	101	64	33
Q01201	84	47	25	12
Q9BZI7	60	26	22	12
P48382	89	53	26	10
Q6NW40	79	37	30	12
Q92546	79	41	30	8
Q9BSD3	52	32	16	4
Q02161	69	38	17	14
P84095	28	9	12	7
Q13017	235	99	86	50
P49798	35	25	5	5
Q0D2K3	24	15	6	3
Q8TCX5	86	48	26	12
Q6ZWK4	33	18	8	7
Q9HB40	73	34	22	17
O76064	61	33	18	10
Q96EL3	15	8	7	0
Q4U2R6	8	4	1	3
Q99729	53	19	13	21
Q96S79	29	11	10	8
Q92681	126	81	40	5
P14678	17	6	9	2
Q5SSQ6	13	6	6	1
Q6ICL7	51	27	20	4
P51168	111	45	37	29
Q9HBV2	49	24	21	4
Q86VV8	366	213	110	43
Q15043	80	45	21	14
P41440	105	53	28	24
P60468	24	13	9	2
Q9NP59	96	43	37	16
Q96DW6	58	24	21	13
Q6T423	72	35	30	7
P08865	45	14	24	7
O95969	10	7	2	1
Q96PL1	11	6	4	1
Q92854	154	74	51	29
P57772	84	41	36	7
Q9H4L4	83	43	26	14
Q96QK8	13	8	4	1
P19634	120	60	40	20
P18827	60	23	33	4
Q9UIU6	168	109	45	14
Q9BYH1	202	91	73	38
Q9NP50	44	27	12	5
Q9UJ37	64	30	18	16
Q5TFQ8	74	34	32	8
Q9NRC8	61	29	24	8
Q14493	47	30	11	6
P58004	78	36	22	20
Q9BRG2	64	37	24	3
Q92185	61	28	18	15
Q9BRT9	25	13	6	6
P50454	62	33	19	10
O43610	58	38	15	5
Q07890	195	108	49	38
Q8TCT7	86	39	25	22
Q9BYE4	7	2	1	4
Q8N4H0	69	43	15	11
Q9UIG8	118	54	41	23
Q9Y5X1	100	48	31	21
Q14247	91	41	22	28
Q86WD7	79	38	30	11
A6NLX3	35	21	6	8
Q9UQF0	114	46	50	18
Q9NP77	27	10	11	6
Q99909	21	8	8	5
Q9BYT3	92	52	30	10
Q6IMI6	43	16	16	11
Q9Y6J8	48	20	14	14
O75716	33	15	10	8
Q8NBJ7	34	15	13	6
Q8IYB8	115	58	37	20
P26639	92	37	29	26
Q8NBV8	46	19	22	5
Q7Z5A9	20	9	10	1
B4DZS4	52	27	18	7
A6NC51	29	18	7	4
O14948	63	35	22	6
Q13509	76	32	27	17
Q53R12	37	26	10	1
P49848	121	59	48	14
O95359	481	302	156	23
Q9NU19	77	38	22	17
Q04724	139	79	40	20
Q04727	145	85	39	21
Q71RG4	52	31	15	6
Q53FP2	22	11	6	5
A6NKF7	14	9	4	1
O14656	46	21	10	15
Q86UB9	81	31	27	23
Q8N3G9	81	29	38	14
Q92748	21	7	9	5
P19237	19	11	6	2
Q9C0B7	157	75	65	17
P48788	16	10	4	2
P50616	58	36	11	11
Q9NX78	109	51	32	26
A0A0A0MTA4	3	0	2	1
Q7Z2V1	56	40	13	3
Q9BZD7	46	24	11	11
Q9Y5L4	11	7	2	2
O75069	115	72	30	13
Q6ZNR0	24	17	5	2
Q9Y3A6	34	17	12	5
Q17RH7	178	173	5	0
Q8IWR1	56	26	19	11
Q9H8W5	78	32	35	11
Q8IZ69	81	34	35	12
Q9Y606	56	27	18	11
Q6IPT4	50	22	17	11
Q86W25	144	72	56	16
O96009	52	23	20	9
Q09161	108	52	34	22
P35579	194	81	79	34
O43795	160	71	42	47
O15399	178	93	49	36
Q9NQX5	39	22	13	4
O15522	34	22	7	5
Q9HBL8	39	12	16	11
P52952	46	21	10	15
Q13469	169	93	47	29
Q9UQ49	71	35	25	11
P61580	8	4	2	2
Q9NPP4	154	76	57	21
Q6ZWH5	199	106	55	38
Q99742	93	53	27	13
Q96RI1	76	31	27	18
Q9NPD7	22	11	7	4
Q9H6R4	153	73	59	21
P03923	25	10	4	11
Q8NGC4	54	15	23	16
Q8NGE3	67	30	26	11
Q96IY1	35	15	16	4
Q9H341	54	25	17	12
P41143	59	27	20	12
Q8NGI8	73	35	23	15
Q8NGE2	65	27	25	13
Q8NH61	67	37	17	13
Q8NGJ5	50	24	14	12
Q9H346	47	20	15	12
O15496	19	7	5	7
Q5VZ03	15	5	6	4
Q8NGC0	80	38	27	15
P32242	85	61	11	13
O75747	246	131	72	43
P29803	60	24	18	18
Q01804	205	123	43	39
Q8NGQ1	71	31	24	16
Q9UJX0	71	40	16	15
Q9UN71	168	92	52	24
Q8TE04	74	36	24	14
O95263	146	76	50	20
Q5JQF8	28	13	7	8
O14495	55	25	14	16
Q86VD9	91	40	37	14
P08237	113	43	55	15
P08567	48	22	16	10
Q53GL0	68	39	22	7
P63135	226	91	105	30
Q5VXH4	60	28	24	8
P86481	21	9	8	4
D3DTV9	8	4	4	0
P02812	28	28	0	0
P23284	25	9	12	4
Q8WVI7	12	6	5	1
Q6NYC8	83	50	26	7
Q2NL68	98	71	24	3
A6NJB7	56	37	16	3
P23942	53	29	11	13
O00231	65	31	19	15
Q6MZQ0	62	38	17	7
O00541	73	25	25	23
P21108	44	25	14	5
P48556	55	21	19	15
Q13046	105	39	40	26
P11498	147	55	59	33
Q8IYL9	67	22	27	18
Q2TAL8	134	55	55	24
P15918	152	87	40	25
Q6ZRP7	101	53	27	21
Q15291	81	46	24	11
Q9H9J2	43	18	18	7
Q9GZN7	42	18	17	7
Q5GAN3	36	13	9	14
P53803	7	1	3	3
P35398	90	48	26	16
Q9H1D9	44	23	11	10
Q9NQ39	18	6	7	5
Q6XPR3	163	92	34	37
P62070	25	8	10	7
P46782	27	11	11	5
Q96G79	50	25	13	12
P48066	102	35	35	32
Q8IY50	64	30	23	11
Q14524	330	158	118	54
Q9UQD0	290	140	92	58
Q9UI33	250	128	81	41
Q9Y3A5	28	10	14	4
Q08357	109	53	38	18
Q3KQZ1	48	15	19	14
Q9UN30	71	34	19	18
Q8IWL2	31	12	11	8
O15041	123	49	38	36
O76038	29	15	9	5
Q8N697	87	42	28	17
P0DMW5	13	7	3	3
A0A1B0GUA5	12	4	6	2
A0A2R8YCJ5	12	10	2	0
P0DMW4	13	7	3	3
P0DKX4	17	6	7	4
Q9HB31	37	26	9	2
Q9H156	146	60	53	33
Q96IW2	48	24	10	14
Q9NUL5	37	23	9	5
Q6S5L8	111	64	31	16
Q96SA4	80	39	26	15
Q8IW03	31	14	14	3
A6NH21	86	46	22	18
Q7Z572	69	37	22	10
P03973	15	8	5	2
A6NMB1	84	47	28	9
P35713	45	24	8	13
Q9UPE1	93	57	21	15
Q9Y5M8	45	25	16	4
Q8N9U9	21	12	9	0
B3KS81	237	189	40	8
P62314	15	5	9	1
Q7Z6B7	192	96	59	37
Q8TAQ2	174	82	66	26
P35325	8	3	2	3
P43308	34	17	10	7
Q7Z614	39	13	16	10
Q9H3Y6	68	34	17	17
Q13596	76	38	28	10
Q6BEB4	51	28	15	8
Q9UJW9	24	16	6	2
Q8NEQ6	31	15	15	1
Q96P15	70	37	23	10
Q8NFV5	36	24	3	9
Q96EA4	86	46	26	14
Q92543	165	95	57	13
A1L4H1	344	127	208	9
Q9Y675	8	3	4	1
Q8N3U4	194	87	70	37
Q9NZ72	27	17	5	5
Q58G82	39	23	11	5
Q9HCH5	179	114	48	17
Q8WVE7	25	13	9	3
P59540	52	27	17	8
P37837	46	22	15	9
P59536	53	29	12	12
O15273	24	11	10	3
Q9P273	539	233	189	117
Q6URK8	45	19	15	11
P42680	104	40	28	36
Q2M2D7	31	15	7	9
O95455	57	23	16	18
Q9Y6M0	51	27	12	12
Q9P1P5	67	30	20	17
O75410	149	95	46	8
Q5QJ74	67	39	16	12
Q12788	119	52	56	11
P68366	69	23	27	19
Q9BSH4	33	24	6	3
P52655	44	17	22	5
P17600	105	60	32	13
Q8WUU8	49	22	17	10
A6NLX4	17	11	3	3
A2RU14	12	6	2	4
A0A0U1RQS6	19	15	4	0
A0A1B0GVZ9	50	31	8	11
P20333	102	58	39	5
Q5JTD0	83	52	25	6
Q01085	65	27	22	16
Q6YI46	51	29	12	10
Q92844	68	35	29	4
A6NGC4	44	26	15	3
P04350	72	26	31	15
Q7Z7H5	30	10	14	6
Q9P2Z0	45	24	18	3
Q9BYV6	80	40	28	12
Q13114	89	52	23	14
Q8IYL2	105	55	35	15
Q12931	109	52	35	22
Q12888	398	246	125	27
Q9UBN6	73	35	30	8
P0DKB5	24	13	5	6
O14545	81	48	25	8
Q96AY4	452	263	92	97
Q16890	44	23	19	2
A0A5B0	22	12	6	4
A0A0A6YYK7	31	15	10	6
A0A1B0GX78	17	5	9	3
P0DPF4	21	12	6	3
A0A0K0K1G8	30	11	11	8
P01733	22	13	6	3
O60294	104	56	31	17
Q969E8	20	6	13	1
P62253	19	7	7	5
P49427	41	15	13	13
A0A0J9YWL9	143	108	24	11
Q96QS1	51	30	16	5
Q5TAP6	94	57	30	7
Q9UKK3	295	160	98	37
O76074	117	56	43	18
Q14123	131	69	43	19
Q8TBJ4	65	22	30	13
Q9BRC7	124	62	37	25
Q8WWB5	50	22	22	6
Q8IV08	81	34	29	18
Q8IUK5	93	46	31	16
Q8N2A8	34	17	13	4
Q9UPG8	84	46	25	13
O75167	122	64	53	5
P00439	74	28	24	22
Q5JTB6	9	5	4	0
Q8WV24	39	25	9	5
Q4J6C6	110	35	42	33
Q8TBY8	121	62	42	17
A8MQ11	22	11	10	1
Q9UBK2	188	112	47	29
P10619	80	35	17	28
P16298	71	29	25	17
Q9NQW5	81	47	19	15
P35813	50	28	13	9
P78395	78	45	21	12
Q00LT1	9	6	3	0
Q9BRQ0	50	30	14	6
Q96NR3	182	74	63	45
Q6ZW05	157	78	49	30
Q6GMV3	14	3	7	4
O95825	42	20	15	7
Q5JQD4	9	4	2	3
Q13636	27	12	10	5
Q14644	141	68	39	34
P01112	31	11	11	9
P57052	62	37	10	15
P49756	81	44	24	13
Q9Y5S9	19	8	5	6
P78509	654	320	207	127
Q52LD8	100	55	30	15
P31350	50	24	17	9
Q2M1Z3	272	179	78	15
Q9H4P4	34	16	12	6
Q9H777	46	21	19	6
Q8IWN7	393	257	124	12
P19388	28	5	15	8
P46783	18	5	6	7
Q8WUT9	54	22	21	11
Q6ZNE9	67	37	21	9
Q6SZW1	84	46	28	10
Q9Y2P5	80	29	35	16
Q8TBB6	150	63	52	35
P0C7V7	18	7	4	7
Q6ZUB0	175	124	43	8
Q9Y3Z3	81	33	23	25
A0A286YEX9	5	2	2	1
Q8IZD6	103	53	25	25
P48029	96	34	30	32
Q6ZMJ2	56	30	20	6
A0A286YF77	11	6	4	1
Q9BWM7	46	16	21	9
O00141	63	29	18	16
Q9NVU7	91	43	33	15
Q9H7L9	45	20	12	13
Q9Y3P8	36	19	11	6
Q9NPC8	45	30	9	6
Q15464	102	66	16	20
Q9Y6E7	45	24	15	6
Q96EB6	98	57	25	16
Q96JF0	76	40	16	20
Q53H47	91	37	34	20
Q9NRA0	91	50	32	9
Q6GMV2	51	24	18	9
A2RU48	29	13	12	4
O95391	85	35	23	27
Q8N9Q2	28	20	5	3
Q9BZZ2	307	154	113	40
Q9BX66	281	168	76	37
Q9H9C1	88	45	27	16
Q8TAD8	58	37	10	11
Q16533	52	27	17	8
A6NNV3	33	21	3	9
Q15036	85	52	19	14
Q9BX26	280	171	82	27
Q8TDW4	95	39	36	20
Q14765	125	65	40	20
Q9NQZ5	61	30	14	17
Q5VSL9	109	50	35	24
Q05952	39	25	13	1
Q92537	57	35	14	8
Q9H987	165	96	57	12
O95363	62	27	18	17
Q96HP8	45	19	17	9
Q6ZVK1	34	18	12	4
Q96BN2	44	20	15	9
Q99973	400	229	125	46
Q8TC07	111	60	29	22
O14746	161	75	58	28
Q16143	17	6	7	4
Q66K14	201	109	58	34
Q9NYW4	57	29	13	15
P23258	79	34	28	17
Q5VWI1	70	43	24	3
Q92547	257	142	80	35
P62380	27	10	13	4
Q96KB5	50	23	16	11
Q6PF06	50	23	16	11
Q9BVT8	40	17	19	4
P16035	29	13	9	7
Q96AN5	67	33	23	11
Q9H6X4	36	23	7	6
Q8NI27	253	134	68	51
Q7Z403	122	56	40	26
Q06643	35	10	16	9
P32971	43	17	17	9
Q9H330	149	71	49	29
P41273	33	21	7	5
P01266	481	270	145	66
A0A0A0MT87	3	1	1	1
Q9H2L4	13	4	6	3
Q8WWA1	55	38	8	9
Q9NPL8	34	13	12	9
Q9C035	74	36	24	14
Q9Y3C4	27	12	11	4
Q9NZR1	37	11	22	4
Q9Y584	29	14	8	7
Q9BVG3	72	30	27	15
Q7L0X0	100	57	31	12
Q9Y4A5	570	257	212	101
Q6ZTA4	118	59	41	18
Q96PN7	186	96	57	33
Q6AZZ1	64	30	16	18
P03986	37	11	18	8
Q12816	374	216	142	16
P07204	67	32	24	11
Q9Y2W1	224	156	40	28
Q96J77	30	13	15	2
A5PLN9	76	35	30	11
Q6F5E7	16	11	4	1
A0A0B4J272	26	13	7	6
A6NNM8	123	56	40	27
Q96A04	20	12	6	2
P63146	27	16	6	5
A0A539	20	10	6	4
A0A1B0GX49	28	12	11	5
Q15672	39	30	4	5
Q9C0H2	94	45	27	22
O14530	32	13	14	5
Q8N2K1	42	16	17	9
C9JJH3	87	40	30	17
D6RCP7	90	41	32	17
Q8N831	46	25	13	8
P42681	87	43	19	25
