ACC_ID	Pfam_ID	#Psites_pfam	#pS	#pT	#pY	STY_count	countS	countT	countY	domain_length	perc.psites	Pfam_fam	Pfam_short	Pfam_desc
Q8TBB1	PF00595	1	1	0	0	44	25	11	8	332	2.27272727272727	PDZ-like	PDZ	PDZ domain
Q8TDM6	PF00595	3	2	1	0	28	17	8	3	237	10.7142857142857	PDZ-like	PDZ	PDZ domain
Q8TEW0	PF00595	2	1	0	1	25	16	8	1	176	8	PDZ-like	PDZ	PDZ domain
Q8TEW8	PF00595	2	2	0	0	23	14	9	0	178	8.69565217391304	PDZ-like	PDZ	PDZ domain
Q8WWI1	PF00595	2	1	1	0	12	7	4	1	77	16.6666666666667	PDZ-like	PDZ	PDZ domain
Q8WXI2	PF00595	1	1	0	0	12	4	6	2	79	8.33333333333333	PDZ-like	PDZ	PDZ domain
Q92997	PF00595	1	1	0	0	10	4	4	2	86	10	PDZ-like	PDZ	PDZ domain
Q96HC4	PF00595	2	1	1	0	11	6	4	1	79	18.1818181818182	PDZ-like	PDZ	PDZ domain
Q96JY6	PF00595	2	2	0	0	8	4	4	0	79	25	PDZ-like	PDZ	PDZ domain
Q96L92	PF00595	3	3	0	0	9	5	2	2	91	33.3333333333333	PDZ-like	PDZ	PDZ domain
Q96QZ7	PF00595	2	2	0	0	44	20	21	3	416	4.54545454545455	PDZ-like	PDZ	PDZ domain
Q9C0E4	PF00595	2	0	2	0	70	36	29	5	490	2.85714285714286	PDZ-like	PDZ	PDZ domain
Q9H5P4	PF00595	2	2	0	0	38	23	12	3	243	5.26315789473684	PDZ-like	PDZ	PDZ domain
Q9HAP6	PF00595	2	1	1	0	7	5	1	1	80	28.5714285714286	PDZ-like	PDZ	PDZ domain
Q9NR12	PF00595	2	1	1	0	9	7	2	0	80	22.2222222222222	PDZ-like	PDZ	PDZ domain
Q9NUP9	PF00595	1	1	0	0	6	4	1	1	80	16.6666666666667	PDZ-like	PDZ	PDZ domain
Q9NZW5	PF00595	1	1	0	0	4	2	2	0	76	25	PDZ-like	PDZ	PDZ domain
Q9UDY2	PF00595	1	1	0	0	28	12	14	2	250	3.57142857142857	PDZ-like	PDZ	PDZ domain
Q9UPQ7	PF00595	1	1	0	0	23	14	6	3	171	4.34782608695652	PDZ-like	PDZ	PDZ domain
Q9Y3R0	PF00595	2	0	2	0	66	31	29	6	490	3.03030303030303	PDZ-like	PDZ	PDZ domain
A4FU01	PF06602	2	2	0	0	47	27	16	4	332	4.25531914893617	Phosphatase	Myotub-related	Myotubularin-like phosphatase domain
O95248	PF06602	5	3	2	0	75	53	11	11	426	6.66666666666667	Phosphatase	Myotub-related	Myotubularin-like phosphatase domain
Q13496	PF06602	1	0	0	1	54	27	15	12	338	1.85185185185185	Phosphatase	Myotub-related	Myotubularin-like phosphatase domain
Q86WG5	PF06602	5	2	3	0	90	55	21	14	430	5.55555555555556	Phosphatase	Myotub-related	Myotubularin-like phosphatase domain
Q96EF0	PF06602	1	1	0	0	55	30	14	11	340	1.81818181818182	Phosphatase	Myotub-related	Myotubularin-like phosphatase domain
Q9Y217	PF06602	1	0	0	1	54	31	8	15	340	1.85185185185185	Phosphatase	Myotub-related	Myotubularin-like phosphatase domain
A4UGR9	PF08043	1	1	0	0	51	10	36	5	304	1.96078431372549		Xin	Xin repeat
Q702N8	PF08043	1	0	1	0	18	4	13	1	142	5.55555555555556		Xin	Xin repeat
A5A3E0	PF00022	8	3	2	3	65	24	27	14	374	12.3076923076923	Actin_ATPase	Actin	Actin
O94805	PF00022	1	1	0	0	62	27	23	12	419	1.61290322580645	Actin_ATPase	Actin	Actin
O96019	PF00022	5	5	0	0	70	29	27	14	422	7.14285714285714	Actin_ATPase	Actin	Actin
P0CG38	PF00022	8	3	2	3	64	24	26	14	374	12.5	Actin_ATPase	Actin	Actin
P0CG39	PF00022	7	2	2	3	65	25	26	14	374	10.7692307692308	Actin_ATPase	Actin	Actin
P60709	PF00022	33	12	10	11	66	25	26	15	374	50	Actin_ATPase	Actin	Actin
P61160	PF00022	3	0	2	1	52	15	21	16	388	5.76923076923077	Actin_ATPase	Actin	Actin
P61163	PF00022	1	1	0	0	56	27	15	14	370	1.78571428571429	Actin_ATPase	Actin	Actin
P62736	PF00022	22	9	7	6	66	26	24	16	374	33.3333333333333	Actin_ATPase	Actin	Actin
P63261	PF00022	30	11	8	11	66	25	26	15	374	45.4545454545455	Actin_ATPase	Actin	Actin
P63267	PF00022	22	9	7	6	66	25	25	16	374	33.3333333333333	Actin_ATPase	Actin	Actin
P68032	PF00022	21	8	7	6	66	24	26	16	374	31.8181818181818	Actin_ATPase	Actin	Actin
P68133	PF00022	22	8	7	7	66	23	27	16	374	33.3333333333333	Actin_ATPase	Actin	Actin
Q562R1	PF00022	10	3	3	4	61	23	22	16	374	16.3934426229508	Actin_ATPase	Actin	Actin
Q6S8J3	PF00022	13	5	4	4	64	24	26	14	374	20.3125	Actin_ATPase	Actin	Actin
Q8TDG2	PF00022	1	0	1	0	57	28	17	12	371	1.75438596491228	Actin_ATPase	Actin	Actin
Q8TDY3	PF00022	1	1	0	0	55	30	18	7	372	1.81818181818182	Actin_ATPase	Actin	Actin
Q9BYX7	PF00022	6	1	2	3	67	25	28	14	374	8.95522388059701	Actin_ATPase	Actin	Actin
Q9GZN1	PF00022	1	1	0	0	62	23	18	21	395	1.61290322580645	Actin_ATPase	Actin	Actin
Q9H568	PF00022	2	2	0	0	58	29	17	12	365	3.44827586206897	Actin_ATPase	Actin	Actin
Q9H981	PF00022	6	5	1	0	85	42	25	18	579	7.05882352941176	Actin_ATPase	Actin	Actin
Q9H9F9	PF00022	1	1	0	0	68	33	14	21	541	1.47058823529412	Actin_ATPase	Actin	Actin
Q9NZ32	PF00022	2	2	0	0	56	24	18	14	386	3.57142857142857	Actin_ATPase	Actin	Actin
Q9Y614	PF00022	2	0	0	2	58	27	19	12	370	3.44827586206897	Actin_ATPase	Actin	Actin
Q9Y615	PF00022	1	0	1	0	60	23	22	15	370	1.66666666666667	Actin_ATPase	Actin	Actin
A5PL33	PF15287	1	1	0	0	42	34	8	0	245	2.38095238095238		KRBA1	KRBA1 family repeat
A5PLK6	PF00615	1	1	0	0	16	6	9	1	111	6.25	RGS	RGS	Regulator of G protein signaling domain
O15539	PF00615	2	2	0	0	18	11	3	4	116	11.1111111111111	RGS	RGS	Regulator of G protein signaling domain
O43572	PF00615	2	2	0	0	43	21	11	11	234	4.65116279069768	RGS	RGS	Regulator of G protein signaling domain
P49795	PF00615	3	2	0	1	22	12	4	6	116	13.6363636363636	RGS	RGS	Regulator of G protein signaling domain
A5YKK6	PF12842	1	0	1	0	16	8	8	0	148	6.25		DUF3819	Domain of unknown function (DUF3819)
A5YM69	PF15441	8	7	1	0	65	42	18	5	478	12.3076923076923		ARHGEF5_35	RhoGEF 5/35 N-terminal disordered region
Q12774	PF15441	10	9	1	0	66	43	18	5	478	15.1515151515152		ARHGEF5_35	RhoGEF 5/35 N-terminal disordered region
A6H8Y1	PF15963	1	1	0	0	14	8	4	2	106	7.14285714285714	HTH	Myb_DNA-bind_7	Myb DNA-binding like
A6NC78	PF15070	2	2	0	0	23	19	3	1	303	8.69565217391304		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
A6NCC3	PF15070	6	5	0	1	24	20	3	1	309	25		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
A6NDK9	PF15070	1	1	0	0	33	20	11	2	315	3.03030303030303		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
A6NDN3	PF15070	1	1	0	0	33	20	11	2	316	3.03030303030303		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
A6NMD2	PF15070	1	1	0	0	23	19	3	1	302	4.34782608695652		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
A7E2F4	PF15070	1	0	1	0	11	8	2	1	149	9.09090909090909		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
A8MQT2	PF15070	1	0	1	0	11	8	2	1	149	9.09090909090909		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
D6RF30	PF15070	3	3	0	0	23	19	3	1	266	13.0434782608696		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
F8WBI6	PF15070	6	5	0	1	24	20	3	1	309	25		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
H3BPF8	PF15070	2	1	0	1	24	18	2	4	288	8.33333333333333		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
H3BQL2	PF15070	3	3	0	0	23	19	3	1	284	13.0434782608696		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
H3BSY2	PF15070	3	2	0	1	25	20	3	2	302	12		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
H3BV12	PF15070	5	4	0	1	22	18	3	1	309	22.7272727272727		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
I6L899	PF15070	6	5	0	1	25	20	4	1	309	24		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
P0CG33	PF15070	1	1	0	0	33	20	11	2	315	3.03030303030303		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
P0CJ92	PF15070	1	1	0	0	21	18	3	0	300	4.76190476190476		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
Q08379	PF15070	5	4	1	0	51	28	16	7	528	9.80392156862745		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
Q9NYA3	PF15070	1	1	0	0	33	20	11	2	316	3.03030303030303		GOLGA2L5	Putative golgin subfamily A member 2-like protein 5
A6NCF6	PF12440	1	0	1	0	23	14	9	0	94	4.34782608695652		MAGE_N	Melanoma associated antigen family N terminal 
P43358	PF12440	1	1	0	0	19	13	6	0	93	5.26315789473684		MAGE_N	Melanoma associated antigen family N terminal 
P43363	PF12440	1	1	0	0	39	33	5	1	114	2.56410256410256		MAGE_N	Melanoma associated antigen family N terminal 
Q8N7X4	PF12440	1	1	0	0	25	19	5	1	91	4		MAGE_N	Melanoma associated antigen family N terminal 
A6ND36	PF07894	2	2	0	0	44	24	10	10	295	4.54545454545455	PLD	FAM83	FAM83 A-H
Q5T0W9	PF07894	1	0	0	1	45	18	14	13	271	2.22222222222222	PLD	FAM83	FAM83 A-H
Q86UY5	PF07894	5	3	0	2	48	30	10	8	277	10.4166666666667	PLD	FAM83	FAM83 A-H
Q8NEG4	PF07894	2	1	1	0	41	16	14	11	283	4.87804878048781	PLD	FAM83	FAM83 A-H
A6ND91	PF03447	1	1	0	0	12	9	2	1	112	8.33333333333333	NADP_Rossmann	NAD_binding_3	Homoserine dehydrogenase, NAD binding domain
A6NDE4	PF08081	1	1	0	0	12	7	3	2	45	8.33333333333333		RBM1CTR	RBM1CTR (NUC064) family
A6NEQ0	PF08081	1	1	0	0	12	7	3	2	45	8.33333333333333		RBM1CTR	RBM1CTR (NUC064) family
O75526	PF08081	1	0	0	1	7	4	0	3	45	14.2857142857143		RBM1CTR	RBM1CTR (NUC064) family
P0C7P1	PF08081	1	1	0	0	12	7	3	2	45	8.33333333333333		RBM1CTR	RBM1CTR (NUC064) family
P0DJD3	PF08081	1	1	0	0	12	7	3	2	45	8.33333333333333		RBM1CTR	RBM1CTR (NUC064) family
P0DJD4	PF08081	1	1	0	0	12	7	3	2	45	8.33333333333333		RBM1CTR	RBM1CTR (NUC064) family
P38159	PF08081	6	3	0	3	12	8	1	3	45	50		RBM1CTR	RBM1CTR (NUC064) family
Q15415	PF08081	1	1	0	0	12	7	3	2	45	8.33333333333333		RBM1CTR	RBM1CTR (NUC064) family
Q96E39	PF08081	6	3	0	3	12	8	1	3	45	50		RBM1CTR	RBM1CTR (NUC064) family
A6NDG6	PF13242	1	1	0	0	15	6	7	2	84	6.66666666666667	HAD	Hydrolase_like	HAD-hyrolase-like
A6NDG6	PF13344	2	1	1	0	13	4	5	4	109	15.3846153846154	HAD	Hydrolase_6	Haloacid dehalogenase-like hydrolase
A6NDP7	PF01284	1	1	0	0	41	13	15	13	271	2.4390243902439	Marvel-like	MARVEL	Membrane-associating domain
A6NDU8	PF17716	1	1	0	0	42	21	9	12	255	2.38095238095238		DUF5561	Family of unknown function (DUF5561)
A6NEC2	PF01433	1	0	1	0	30	12	8	10	199	3.33333333333333	Peptidase_MA	Peptidase_M1	Peptidase family M1 domain
A6NED2	PF00415	1	0	0	1	15	3	7	5	102	6.66666666666667	Beta_propeller	RCC1	Regulator of chromosome condensation (RCC1) repeat
P18754	PF00415	3	2	1	0	49	25	15	9	318	6.12244897959184	Beta_propeller	RCC1	Regulator of chromosome condensation (RCC1) repeat
Q5GLZ8	PF00415	2	2	0	0	55	29	14	12	362	3.63636363636364	Beta_propeller	RCC1	Regulator of chromosome condensation (RCC1) repeat
Q8IVU3	PF00415	2	0	2	0	29	19	6	4	201	6.89655172413793	Beta_propeller	RCC1	Regulator of chromosome condensation (RCC1) repeat
Q9P258	PF00415	2	0	1	1	26	11	8	7	225	7.69230769230769	Beta_propeller	RCC1	Regulator of chromosome condensation (RCC1) repeat
A6NEH6	PF15444	1	1	0	0	25	11	7	7	219	4		TMEM247	Transmembrane protein 247
A6NEY8	PF04073	1	0	1	0	13	4	7	2	130	7.69230769230769		tRNA_edit	Aminoacyl-tRNA editing domain
A6NF01	PF15229	8	7	1	0	32	23	8	1	135	25		POM121	POM121 family
A6NL46	PF15229	1	1	0	0	32	20	10	2	210	3.125		POM121	POM121 family
A8CG34	PF15229	16	14	2	0	61	46	12	3	236	26.2295081967213		POM121	POM121 family
A8MU76	PF15229	1	0	1	0	34	22	10	2	210	2.94117647058823		POM121	POM121 family
Q3SYA9	PF15229	2	2	0	0	43	27	13	3	211	4.65116279069768		POM121	POM121 family
Q96HA1	PF15229	11	10	1	0	59	45	11	3	235	18.6440677966102		POM121	POM121 family
A6NFD8	PF00010	1	0	1	0	6	3	2	1	55	16.6666666666667		HLH	Helix-loop-helix DNA-binding domain
P17542	PF00010	1	0	1	0	5	2	2	1	53	20		HLH	Helix-loop-helix DNA-binding domain
P61244	PF00010	1	1	0	0	8	5	1	2	52	12.5		HLH	Helix-loop-helix DNA-binding domain
Q14582	PF00010	2	2	0	0	8	4	3	1	53	25		HLH	Helix-loop-helix DNA-binding domain
Q99929	PF00010	1	0	0	1	5	3	1	1	53	20		HLH	Helix-loop-helix DNA-binding domain
Q9BYE0	PF00010	1	0	1	0	3	1	1	1	56	33.3333333333333		HLH	Helix-loop-helix DNA-binding domain
A6NFF2	PF00956	1	0	1	0	10	1	4	5	59	10		NAP	Nucleosome assembly protein (NAP)
P0DME0	PF00956	5	2	1	2	29	14	9	6	200	17.2413793103448		NAP	Nucleosome assembly protein (NAP)
P55209	PF00956	6	2	1	3	31	11	13	7	270	19.3548387096774		NAP	Nucleosome assembly protein (NAP)
Q01105	PF00956	5	2	1	2	28	13	9	6	149	17.8571428571429		NAP	Nucleosome assembly protein (NAP)
Q99733	PF00956	6	4	1	1	37	14	16	7	274	16.2162162162162		NAP	Nucleosome assembly protein (NAP)
A6NFN3	PF00076	1	0	1	0	7	4	3	0	69	14.2857142857143	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
B2RXH8	PF00076	1	1	0	0	7	4	1	2	63	14.2857142857143	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
B7ZW38	PF00076	1	1	0	0	7	4	1	2	64	14.2857142857143	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
O14979	PF00076	5	3	2	0	23	9	10	4	141	21.7391304347826	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
O15042	PF00076	2	2	0	0	4	2	1	1	74	50	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
O43390	PF00076	5	3	0	2	20	8	6	6	200	25	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
O60506	PF00076	4	2	0	2	20	6	9	5	200	20	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
O60812	PF00076	1	1	0	0	7	4	1	2	64	14.2857142857143	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
O75494	PF00076	2	1	1	0	7	1	2	4	71	28.5714285714286	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
O75526	PF00076	3	2	1	0	7	3	3	1	71	42.8571428571429	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
O75821	PF00076	1	1	0	0	13	6	5	2	68	7.69230769230769	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P05455	PF00076	1	0	1	0	10	3	5	2	69	10	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P07910	PF00076	2	2	0	0	6	3	1	2	64	33.3333333333333	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P08579	PF00076	1	0	1	0	13	6	4	3	139	7.69230769230769	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P08621	PF00076	2	0	0	2	12	4	2	6	71	16.6666666666667	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P09651	PF00076	5	3	1	1	21	6	11	4	140	23.8095238095238	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P0CB38	PF00076	1	0	1	0	45	27	10	8	277	2.22222222222222	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P0DMR1	PF00076	1	1	0	0	7	4	1	2	64	14.2857142857143	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P11940	PF00076	13	7	2	4	37	16	11	10	278	35.1351351351351	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P18615	PF00076	2	1	1	0	10	4	4	2	60	20	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P19338	PF00076	21	12	7	2	40	19	16	5	270	52.5	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P22626	PF00076	9	3	4	2	22	8	9	5	140	40.9090909090909	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P23246	PF00076	1	1	0	0	15	8	5	2	133	6.66666666666667	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P23588	PF00076	1	1	0	0	10	7	1	2	70	10	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P26368	PF00076	1	1	0	0	22	8	9	5	208	4.54545454545455	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P29558	PF00076	2	1	1	0	24	11	9	4	133	8.33333333333333	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P31942	PF00076	4	2	1	1	14	5	6	3	138	28.5714285714286	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P31943	PF00076	7	6	0	1	24	11	7	6	210	29.1666666666667	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P35637	PF00076	5	3	2	0	12	4	6	2	79	41.6666666666667	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P38159	PF00076	2	1	1	0	8	3	4	1	71	25	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P42696	PF00076	2	1	1	0	15	8	4	3	118	13.3333333333333	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P51991	PF00076	1	1	0	0	21	5	11	5	142	4.76190476190476	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P52272	PF00076	3	1	1	1	20	12	5	3	210	15	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P52597	PF00076	3	2	0	1	14	4	6	4	138	21.4285714285714	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P55795	PF00076	6	6	0	0	25	11	8	6	210	24	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P55884	PF00076	2	1	0	1	9	2	3	4	59	22.2222222222222	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P84103	PF00076	4	0	1	3	6	1	2	3	66	66.6666666666667	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
P98179	PF00076	1	1	0	0	10	6	4	0	71	10	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q01085	PF00076	2	2	0	0	33	15	11	7	205	6.06060606060606	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q01130	PF00076	4	1	1	2	10	2	4	4	71	40	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q01844	PF00076	1	0	1	0	11	3	5	3	79	9.09090909090909	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q05519	PF00076	1	1	0	0	12	8	4	0	72	8.33333333333333	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q07955	PF00076	2	0	0	2	18	4	4	10	132	11.1111111111111	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q08170	PF00076	4	4	0	0	16	6	2	8	129	25	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q13151	PF00076	4	4	0	0	16	7	7	2	139	25	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q13243	PF00076	5	4	0	1	11	6	2	3	129	45.4545454545455	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q13247	PF00076	7	6	1	0	18	8	3	7	129	38.8888888888889	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q13283	PF00076	1	1	0	0	6	5	0	1	65	16.6666666666667	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q13310	PF00076	10	6	1	3	41	21	10	10	277	24.390243902439	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q14103	PF00076	5	2	2	1	18	8	7	3	142	27.7777777777778	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q14151	PF00076	2	1	1	0	19	9	8	2	71	10.5263157894737	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q14498	PF00076	1	1	0	0	20	12	5	3	140	5	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q15020	PF00076	2	1	1	0	19	9	5	5	140	10.5263157894737	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q15056	PF00076	3	2	0	1	10	4	3	3	69	30	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q15233	PF00076	2	2	0	0	14	6	6	2	133	14.2857142857143	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q15424	PF00076	2	1	1	0	17	7	8	2	70	11.7647058823529	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q15427	PF00076	1	0	0	1	19	6	6	7	143	5.26315789473684	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q15434	PF00076	2	1	1	0	27	10	12	5	133	7.40740740740741	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q15717	PF00076	1	0	0	1	35	15	13	7	211	2.85714285714286	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q16629	PF00076	1	0	0	1	7	2	2	3	66	14.2857142857143	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q32P51	PF00076	4	3	0	1	23	6	13	4	142	17.3913043478261	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q4VXU2	PF00076	6	3	0	3	40	18	12	10	278	15	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q5JQF8	PF00076	1	1	0	0	18	6	4	8	139	5.55555555555556	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q6XE24	PF00076	2	1	0	1	20	8	7	5	132	10	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q76FK4	PF00076	1	1	0	0	11	6	3	2	74	9.09090909090909	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q86SE5	PF00076	1	1	0	0	7	3	1	3	64	14.2857142857143	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q86U42	PF00076	1	1	0	0	12	6	3	3	70	8.33333333333333	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q86V81	PF00076	1	1	0	0	8	4	2	2	70	12.5	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q8IXT5	PF00076	2	1	0	1	19	4	8	7	139	10.5263157894737	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q8IY67	PF00076	2	1	0	1	29	13	8	8	205	6.89655172413793	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q8N7X1	PF00076	2	1	1	0	7	2	3	2	71	28.5714285714286	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q8NDT2	PF00076	1	1	0	0	13	7	2	4	133	7.69230769230769	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q8NG50	PF00076	1	1	0	0	10	5	2	3	64	10	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q8WXF1	PF00076	1	1	0	0	13	6	6	1	131	7.69230769230769	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q92804	PF00076	3	2	1	0	10	3	6	1	79	30	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q92879	PF00076	1	1	0	0	28	13	10	5	211	3.57142857142857	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q96E39	PF00076	2	1	1	0	9	3	5	1	71	22.2222222222222	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q96T37	PF00076	5	5	0	0	19	12	5	2	138	26.3157894736842	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q99729	PF00076	1	0	1	0	16	7	7	2	140	6.25	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q9BQ04	PF00076	3	1	1	1	12	2	5	5	126	25	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q9BRL6	PF00076	4	1	1	2	8	2	3	3	71	50	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q9BTD8	PF00076	1	0	0	1	10	5	2	3	71	10	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q9BWF3	PF00076	3	1	1	1	12	2	5	5	126	25	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Q9GZT3	PF00076	1	1	0	0	6	4	2	0	69	16.6666666666667	RRM	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
